author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Argimiro Arratia,Computational Finance - An Introductory Course with R,Null,2014,1-282,https://doi.org/10.2991/978-94-6239-070-6,Springer,Null,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,"978-94-6239-069-0, 978-94-6239-070-6",Atlantis Studies in Computational Finance and Financial Engineering,Null,Null
"Mika Sato-Ilic, Lakhmi C. Jain",Innovations in Fuzzy Clustering - Theory and Applications,Null,2006,1-145,https://doi.org/10.1007/3-540-34357-1,Springer,Null,Null,Null,205,Null,Null,db/series/sfsc/index.html#Sato-IlicJ06,Null,Null,Null,Null,Null,978-3-540-34356-1,Studies in Fuzziness and Soft Computing,Null,Null
Simone Frintrop,VOCUS: A Visual Attention System for Object Detection and Goal-Directed Search,Null,2006,Null,https://doi.org/10.1007/11682110,Springer,Null,Null,Null,3899,Null,Null,Null,Null,Null,Null,Null,Null,3-540-32759-2,Lecture Notes in Computer Science,Null,Null
"K. Sreenivasa Rao, N. P. Narendra","Source Modeling Techniques for Quality Enhancement in Statistical Parametric Speech Synthesis - Studies in Speech Signal Processing, Natural Language Understanding, and Machine Learning",Null,2019,1-129,https://doi.org/10.1007/978-3-030-02759-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-02758-2,Null,Null,Null
Bernhard Nebel,Reasoning and Revision in Hybrid Representation Systems,"Saarland University, Saarbrücken, Germany",1990,1-300,"https://doi.org/10.1007/BFb0016445, http://scidok.sulb.uni-saarland.de/volltexte/2004/213/index.html, https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-2132, https://d-nb.info/900420138, https://d-nb.info/900678070, https://d-nb.info/972341595",Springer,Null,Null,Null,422,Null,Null,Null,Null,Null,Null,Null,Null,3-540-52443-6,Lecture Notes in Computer Science,Null,Null
"Okan Topçu, Umut Durak, Halit Oguztüzün, Levent Yilmaz",Distributed Simulation - A Model Driven Engineering Approach,Null,2016,3-270,https://doi.org/10.1007/978-3-319-03050-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-03049-4, 978-3-319-03050-0","Simulation Foundations, Methods and Applications",Null,Null
"Albert Fleischmann, Stefan Oppl, Werner Schmidt 0001, Christian Stary",Contextual Process Digitalization - Changing Perspectives - Design Thinking - Value-Led Design,Null,2020,1-275,https://doi.org/10.1007/978-3-030-38300-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-38299-5,Null,Null,Null
Michael Malms,Ein inhaltsadressierbares Speichersystem zur Unterstützung zeitkritischer Prozesse der Informationswiedergewinnung in Datenbanksystemen,"RWTH Aachen University, Germany",1983,Null,"https://doi.org/10.1007/978-3-642-68832-4, https://d-nb.info/830382208",Springer,Null,Null,Null,62,Null,Null,Null,Null,Null,Null,Null,Null,3-540-12006-8,Informatik-Fachberichte,Null,Null
Shiyou Lian,Principles of Imprecise-Information Processing - A New Theoretical and Technological System,Null,2016,1-648,https://doi.org/10.1007/978-981-10-1549-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-981-10-1547-2, 978-981-10-1549-6",Null,Null,Null
Gerhard Helm,Symbolische und konnektionistische Modelle der menschlichen Informationsverarbeitung - Eine kritische Gegenüberstellung,"Ludwig Maximilian University of Munich, Germany",1991,1-161,"https://doi.org/10.1007/978-3-662-10178-0, https://d-nb.info/920426875",Springer,Null,Null,Null,288,Null,Null,Null,Null,Null,Null,Null,Null,3-540-54575-1,Informatik-Fachberichte,Null,Null
Null,Symbolic Algebraic Methods and Verification Methods,Null,2001,Null,https://doi.org/10.1007/978-3-7091-6280-4,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/samvm2001.html,Null,"Götz Alefeld, Jiri Rohn, Siegfried M. Rump, Tetsuro Yamamoto",Null,Null,Null,3-211-83593-8,Null,Null,Null
Null,"Semantic Applications, Methodology, Technology, Corporate Use.",Null,2018,Null,https://doi.org/10.1007/978-3-662-55433-3,Springer,Semantic Applications,Null,Null,Null,Null,Null,db/books/collections/HHR2018.html,Null,"Thomas Hoppe 0001, Bernhard Humm, Anatol Reibold",Null,Null,Null,"978-3-662-55432-6, 978-3-662-55433-3",Null,Null,Null
Null,Evolving Software Systems,Null,2014,Null,"https://doi.org/10.1007/978-3-642-45398-4, https://www.wikidata.org/entity/Q58147010",Springer,Evolving Software Systems,Null,Null,Null,Null,Null,db/books/collections/ess2014.html,Null,"Tom Mens, Alexander Serebrenik, Anthony Cleve",Null,Null,Null,978-3-642-45397-7,Null,Null,Null
Kurt Mehlhorn,Data Structures and Algorithms 1: Sorting and Searching,Null,1984,"I-XIV, 1-336","https://doi.org/10.1007/978-3-642-69672-5, http://www.mpi-sb.mpg.de/~mehlhorn/DatAlgbooks.html, https://www.worldcat.org/oclc/310937425",Springer,Null,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,"3-540-13302-X, 0-387-13302-X, 978-3-642-69674-9, 978-3-642-69672-5",EATCS Monographs on Theoretical Computer Science,Null,Null
"Chenshu Wu, Zheng Yang 0002, Yunhao Liu 0001",Wireless Indoor Localization - A Crowdsourcing Approach,Null,2018,Null,https://doi.org/10.1007/978-981-13-0356-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-981-13-0355-5, 978-981-13-0356-2",Null,Null,Null
"Brian M. Steele, John Chandler, Swarna Reddy",Algorithms for Data Science,Null,2016,1-430,https://doi.org/10.1007/978-3-319-45797-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-45795-6, 978-3-319-45797-0",Null,Null,Null
"Sadaaki Miyamoto, Hidetomo Ichihashi, Katsuhiro Honda",Algorithms for Fuzzy Clustering - Methods in c-Means Clustering with Applications,Null,2008,1-233,https://doi.org/10.1007/978-3-540-78737-2,Springer,Null,Null,Null,229,Null,Null,db/series/sfsc/index.html#MiyamotoIH08,Null,Null,Null,Null,Null,978-3-540-78736-5,Studies in Fuzziness and Soft Computing,Null,Null
Thomas A. Runkler,"Data Analytics - Models and Algorithms for Intelligent Data Analysis, Second Edition",Null,2016,1-150,https://doi.org/10.1007/978-3-658-14075-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-658-14074-8, 978-3-658-14075-5",Null,Null,Null
"Cheng Siong Chin, Michael Wai Shing Lau",Benchmark Models of Control System Design for Remotely Operated Vehicles,Null,2020,1-137,https://doi.org/10.1007/978-981-15-6511-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-15-6510-6,Null,Null,Null
"Heinz H. Bauschke, Patrick L. Combettes",Convex Analysis and Monotone Operator Theory in Hilbert Spaces,Null,2011,1-468,"https://doi.org/10.1007/978-1-4419-9467-7, https://www.wikidata.org/entity/Q63347260",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-4419-9466-0, 978-1-4419-9467-7",CMS Books in Mathematics,Null,Null
Michael Kohlhase,OMDoc - An Open Markup Format for Mathematical Documents [version 1.2].,Null,2006,Null,https://doi.org/10.1007/11826095,Springer,Null,Null,Null,4180,Null,Null,Null,Null,Null,Null,Null,Null,3-540-37897-9,Lecture Notes in Computer Science,Null,Null
Ferrante Neri,"Linear Algebra for Computational Sciences and Engineering, Second Edition",Null,2019,1-574,https://doi.org/10.1007/978-3-030-21321-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-21320-6,Null,Null,Null
Meinard Müller,"Fundamentals of Music Processing - Using Python and Jupyter Notebooks, Second Edition",Null,2021,1-495,https://doi.org/10.1007/978-3-030-69808-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-69807-2,Null,Null,Null
Wolf E. Fischer,Datenbanksystem für CAD-Arbeitsplätze,"Karlsruhe Institute of Technology, Germany",1983,1-222,"https://doi.org/10.1007/978-3-642-69035-8, https://d-nb.info/830683623",Springer,Null,Null,Null,70,Null,Null,Null,Null,Null,Null,Null,Null,3-540-12325-3,Informatik-Fachberichte,Null,Null
Michael Nofer,"The Value of Social Media for Predicting Stock Returns - Preconditions, Instruments and Performance Analysis",Darmstadt University of Technology,2015,1-108,"https://doi.org/10.1007/978-3-658-09508-6, https://d-nb.info/1068392428",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-658-09507-9, 978-3-658-09508-6",Null,Null,Null
Song Y. Yan,Quantum Computational Number Theory,Null,2015,1-252,https://doi.org/10.1007/978-3-319-25823-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-25821-8, 978-3-319-25823-2",Null,Null,Null
Sergei Petrenko,Big Data Technologies for Monitoring of Computer Security: A Case Study of the Russian Federation,Null,2018,1-249,https://doi.org/10.1007/978-3-319-79036-7,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-79035-0,Null,Null,Null
Fridolin Wild,"Learning Analytics in R with SNA, LSA, and MPIA",Null,2016,1-275,https://doi.org/10.1007/978-3-319-28791-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-28789-8, 978-3-319-28791-1",Null,Null,Null
Satinder P. Gill,Tacit Engagement - Beyond Interaction,Null,2015,1-160,https://doi.org/10.1007/978-3-319-21620-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-21619-5, 978-3-319-21620-1",Null,Null,Null
"Martin Wieczorek, Diederik Vos, Heinz Bons",Systems and Software Quality - The next step for industrialisation,Null,2014,1-163,https://doi.org/10.1007/978-3-642-39971-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-642-39970-1, 978-3-642-39971-8",Null,Null,Null
Jordan Schroeder,Advanced Persistent Training - Take Your Security Awareness Program to the Next Level,Null,2017,1-92,https://doi.org/10.1007/978-1-4842-2835-7,Apress,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4842-2834-0,Null,Null,Null
Null,"Collaboration in Creative Design, Methods and Tools",Null,2016,Null,https://doi.org/10.1007/978-3-319-29155-0,Springer,Collaboration in Creative Design,Null,Null,Null,Null,Null,db/books/collections/MMCL2016.html,Null,"Panos Markopoulos 0001, Jean-Bernard Martens, Julian Malins, Karin Coninx, Aggelos Liapis",Null,Null,Null,"978-3-319-29153-6, 978-3-319-29155-0",Null,Null,Null
Bahram Farhadinia,Hesitant Fuzzy Set - Theory and Extension,Null,2021,1-148,https://doi.org/10.1007/978-981-16-7301-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-16-7300-9,Null,Null,Null
"Linghe Kong, Bowen Wang, Guihai Chen",When Compressive Sensing Meets Mobile Crowdsensing,Null,2019,1-127,https://doi.org/10.1007/978-981-13-7776-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-13-7775-4,Null,Null,Null
"Bernhard Preim, Raimund Dachselt","Interaktive Systeme - Band 1: Grundlagen, Graphical User Interfaces, Informationsvisualisierung",Null,2010,Null,https://doi.org/10.1007/978-3-642-05402-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-642-05401-3, 978-3-642-05402-0",Null,Null,Null
Boris Tolg,Computer science to the Point - Computer Science for Life Sciences Students and Other Non-Computer Scientists,Null,2023,3-273,https://doi.org/10.1007/978-3-658-38443-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-38442-5,Null,Null,Null
Ross J. Maloney,Low Level X Window Programming - An Introduction by Examples,Null,2017,1-264,https://doi.org/10.1007/978-3-319-74250-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-74249-6,Null,Null,Null
Tejinder S. Randhawa,"Mobile Applications - Design, Development and Optimization",Null,2022,1-657,https://doi.org/10.1007/978-3-030-02391-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-02389-8,Null,Null,Null
Karl-Heinz Hauer,"Portable Methodenmonitoren: Dialogsysteme zur Steuerung von Methodenbanken, softwaretechnischer Aufbau und Effizienzanalyse",Null,1980,Null,https://doi.org/10.1007/978-3-642-67563-8,Springer,Null,Null,Null,23,Null,Null,Null,Null,Null,Null,Null,Null,3-540-09876-3,Informatik-Fachberichte,Null,Null
Zdzislaw Trzaska,Mixed Mode Oscillations (MMOs) - Fundamentals and Applications,Null,2021,1-146,https://doi.org/10.1007/978-3-030-76867-6,Springer,Null,Null,Null,374,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-76866-9,Null,Null,Null
"El Hassan Zerrik, Oscar Castillo 0001",Stabilization of Infinite Dimensional Systems,Null,2021,1-310,https://doi.org/10.1007/978-3-030-68600-0,Springer,Null,Null,Null,355,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-68599-7,Null,Null,Null
Chaomei Chen,Information Visualisation and Virtual Environments,Null,1999,Null,Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1-85233-136-4,Null,Null,Null
Sidong Liu,Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders,Null,2017,1-129,https://doi.org/10.1007/978-981-10-3533-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-981-10-3532-6, 978-981-10-3533-3",Null,Null,Null
"Davide Maltoni, Dario Maio, Anil K. Jain 0001, Jianjiang Feng","Handbook of Fingerprint Recognition, Third Edition",Null,2022,1-522,https://doi.org/10.1007/978-3-030-83624-5,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-83623-8,Null,Null,Null
"James Goodwill, Wesley Matlock","Beginning Swift Games Development for iOS - Develop 2D and 3D games Using Apple's SceneKit and SpriteKit, Second Edition",Null,2017,3-202,https://doi.org/10.1007/978-1-4842-2310-9,Apress,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4842-2309-3,Null,Null,Null
Bernhard J. Frommherz,Ein Roboteraktionsplanungssystem,"Karlsruhe Institute of Technology, Germany",1990,1-134,"https://doi.org/10.1007/978-3-642-51150-9, https://d-nb.info/901378860",Springer,Null,Null,Null,260,Null,Null,Null,Null,Null,Null,Null,Null,3-540-53401-6,Informatik-Fachberichte,Null,Null
"Peter Weber, Roland Gabriel, Thomas Lux, Katharina Menke","Basics in Business Informatics, Second Edition",Null,2022,1-379,https://doi.org/10.1007/978-3-658-35859-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-35858-7,Null,Null,Null
Debora Weber-Wulff,False Feathers - A Perspective on Academic Plagiarism,Null,2014,1-173,https://doi.org/10.1007/978-3-642-39961-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-642-39960-2, 978-3-642-39961-9",Null,Null,Null
Null,Business and Consumer Analytics: New Ideas,Null,2019,Null,https://doi.org/10.1007/978-3-030-06222-4,Springer,Null,Null,Null,Null,Null,Null,db/books/collections/MV2019.html,Null,"Pablo Moscato, Natalie Jane de Vries",Null,Null,Null,"978-3-030-06221-7, 978-3-030-06222-4",Null,Null,Null
Martin P. Robillard,"Introduction to Software Design with Java, Second Edition",Null,2022,1-274,https://doi.org/10.1007/978-3-030-97899-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-97898-3,Null,Null,Null
"Chantal Lebrument, Fabien Soyez",The Inventions of Louis Pouzin - One of the Fathers of the Internet,Null,2020,1-154,https://doi.org/10.1007/978-3-030-34836-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-34835-9,Null,Null,Null
"Michele Piana, A. Gordon Emslie, Anna Maria Massone, Brian R. Dennis","Hard X-Ray Imaging of Solar Flares, 2",Null,2022,1-164,https://doi.org/10.1007/978-3-030-87277-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-87276-2,Null,Null,Null
Markus Becker 0004,Services in Wireless Sensor Networks - Modelling and Optimisation for the Efficient Discovery of Services,Null,2014,1-143,"https://doi.org/10.1007/978-3-658-05402-1, https://d-nb.info/1047990059",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-658-05401-4, 978-3-658-05402-1",Advanced Studies Mobile Research Center Bremen,Null,Null
Lech Madeyski,Test-Driven Development - An Empirical Evaluation of Agile Practice.,Null,2010,1-245,https://doi.org/10.1007/978-3-642-04288-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-04287-4,Null,Null,Null
Ian T. Jolliffe,Principal Component Analysis,Null,1986,1-271,https://doi.org/10.1007/978-1-4757-1904-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-4757-1906-2, 978-1-4757-1904-8",Springer Series in Statistics,Null,Null
Willi Stoll,Test von OSI-Protokollen,"Karlsruhe Institute of Technology, Germany",1989,1-205,"https://doi.org/10.1007/978-3-642-83993-1, https://d-nb.info/891450149",Springer,Null,Null,Null,225,Null,Null,Null,Null,Null,Null,Null,Null,3-540-51824-X,Informatik-Fachberichte,Null,Null
H. Paul Williams,Logic and Integer Programming,Null,2009,1-144,https://doi.org/10.1007/978-0-387-92280-5,Springer,Null,Null,Null,130,Null,Null,Null,Null,Null,Null,Null,Null,"978-0-387-92279-9, 978-0-387-92280-5",Logic and Integer Programming,Null,Null
Null,"Current Trends in Concurrency, Overviews and Tutorials",Null,1986,Null,"https://doi.org/10.1007/BFb0027037, https://www.worldcat.org/oclc/13702221",Springer,Current Trends in Concurrency,Null,Null,224,Null,Null,db/books/collections/Trends86.html,Null,"J. W. de Bakker, Willem P. de Roever, Grzegorz Rozenberg",Null,Null,Null,"3-540-16488-X, 0-387-16488-X",Lecture Notes in Computer Science,Null,Null
Nils J. Nilsson,Principles of Artificial Intelligence,Null,1982,"I-XV, 1-476",https://www.worldcat.org/oclc/299634096,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-540-11340-9, 0-387-11340-1",Symbolic computation,Null,Null
"Francesco Mazzilli, Catherine Dehollain",Ultrasound Energy and Data Transfer for Medical Implants,Null,2020,1-143,https://doi.org/10.1007/978-3-030-49004-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-49003-4,Null,Null,Null
"Xiang Gao, Tao Zhang",Introduction to Visual SLAM - From Theory to Practice,Null,2021,3-361,https://doi.org/10.1007/978-981-16-4939-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-16-4938-7,Null,Null,Null
Abhijit Ghatak,Deep Learning with R,Null,2019,1-245,https://doi.org/10.1007/978-981-13-5850-0,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-13-5849-4,Null,Null,Null
"René Riedl, Pierre-Majorique Léger",Fundamentals of NeuroIS - Information Systems and the Brain,Null,2016,1-115,https://doi.org/10.1007/978-3-662-45091-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-662-45090-1, 978-3-662-45091-8","Studies in Neuroscience, Psychology and Behavioral Economics",Null,Null
"José Manuél Gómez-Pérez, Ronald Denaux, Andrés García-Silva",A Practical Guide to Hybrid Natural Language Processing - Combining Neural Models and Knowledge Graphs for NLP,Null,2020,1-268,https://doi.org/10.1007/978-3-030-44830-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-44829-5,Null,Null,Null
"Dipayan Guha, Provas Kumar Roy, Subrata Banerjee, Shubhi Purwar",Application of Intelligent Control Algorithms to Study the Dynamics of Hybrid Power System,Null,2022,1-197,https://doi.org/10.1007/978-981-19-0444-8,Springer,Null,Null,Null,426,Null,Null,Null,Null,Null,Null,Null,Null,978-981-19-0443-1,Null,Null,Null
Oscar Castillo 0001,Type-2 Fuzzy Logic in Intelligent Control Applications,Null,2012,1-180,https://doi.org/10.1007/978-3-642-24663-0,Springer,Null,Null,Null,272,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-24662-3,Studies in Fuzziness and Soft Computing,Null,Null
"Vinícius J. Cassol, Soraia Raupp Musse, Cláudio R. Jung, Norman I. Badler",Simulating Crowds in Egress Scenarios,Null,2017,1-107,https://doi.org/10.1007/978-3-319-65202-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-65201-6,Null,Null,Null
Raimundas Matulevicius,Fundamentals of Secure System Modelling,Null,2017,17-207,https://doi.org/10.1007/978-3-319-61717-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-61716-9,Null,Null,Null
"Anton Bogdanovych, Tomas Trescak",Learning Java Programming in Clara's World,Null,2021,1-293,https://doi.org/10.1007/978-3-030-75542-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-75541-6,Null,Null,Null
"Pierre Deransart, Martin Jourdan, Bernard Lorho","Attribute Grammars: Definitions, Systems, and Bibliography.",Null,1988,Null,https://doi.org/10.1007/BFb0030509,Springer,Null,Null,Null,323,Null,Null,Null,Null,Null,Null,Null,Null,3-540-50056-1,Lecture Notes in Computer Science,Null,Null
"Stéphane Demri, Ewa Orlowska","Incomplete Information: Structure, Inference, Complexity",Null,2002,"I-XVIII, 1-408",https://doi.org/10.1007/978-3-662-04997-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"3-540-41904-7, 978-3-642-07540-7, 978-3-662-04997-6",Monographs in Theoretical Computer Science. An EATCS Series,Null,Null
Marie-Francine Moens,Information Extraction: Algorithms and Prospects in a Retrieval Context,Null,2006,Null,https://doi.org/10.1007/978-1-4020-4993-4,Springer,Null,Null,Null,21,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-4020-4987-3, 978-1-4020-4993-4",The Information Retrieval Series,Null,Null
Alfred C. Hartmann,A Concurrent Pascal Compiler for Minicomputers,Null,1977,Null,"https://doi.org/10.1007/3-540-08240-9, https://www.wikidata.org/entity/Q56442876",Springer,Null,Null,Null,50,Null,Null,Null,Null,Null,Null,Null,Null,3-540-08240-9,Lecture Notes in Computer Science,Null,Null
"Wei Li 0002, Yuefei Sui","R-Calculus, III: Post Three-Valued Logic",Null,2022,1-273,https://doi.org/10.1007/978-981-19-4270-9,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-19-4269-3,Null,Null,Null
Shane Torbert,"Applied Computer Science, Second Edition",Null,2016,1-279,"https://doi.org/10.1007/978-3-319-30866-1, https://www.wikidata.org/entity/Q54157058",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-319-30864-7, 978-3-319-30866-1",Null,Null,Null
James L. Peterson,Computer Programs for Spelling Correction: An Experiment in Program Design,Null,1980,Null,https://doi.org/10.1007/3-540-10259-0,Springer,Null,Null,Null,96,Null,Null,Null,Null,Null,Null,Null,Null,3-540-10259-0,Lecture Notes in Computer Science,Null,Null
"Wenhai Qi, Guangdeng Zong",Analysis and Design for Positive Stochastic Jump Systems,Null,2023,1-214,https://doi.org/10.1007/978-981-19-5490-0,Springer,Null,Null,Null,450,Null,Null,Null,Null,Null,Null,Null,Null,978-981-19-5489-4,Null,Null,Null
"Vytautas Stuikys, Renata Burbaite","Smart STEM-Driven Computer Science Education - Theory, Methodology and Robot-based Practices",Null,2018,3-363,https://doi.org/10.1007/978-3-319-78485-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-319-78484-7,Null,Null,Null
Null,Cognitive Systems,Null,2010,Null,https://doi.org/10.1007/978-3-642-11694-0,Springer,Null,Null,Null,8,Null,Null,db/books/collections/CKW2010.html,Null,"Henrik Iskov Christensen, Geert-Jan M. Kruijff, Jeremy L. Wyatt",Null,Null,Null,"978-3-642-11693-3, 978-3-642-11694-0",Cognitive Systems Monographs,Null,Null
Dieter Lienert,Die Konfigurierung modular aufgebauter Datenbanksysteme,"Karlsruhe Institute of Technology, Germany",1987,1-214,"https://doi.org/10.1007/978-3-642-72747-4, https://d-nb.info/870677683",Springer,Null,Null,Null,137,Null,Null,Null,Null,Null,Null,Null,Null,3-540-17908-9,Informatik-Fachberichte,Null,Null
"Ying Xu, Juan Cui, David Puett",Cancer Bioinformatics,Null,2014,1-362,https://doi.org/10.1007/978-1-4939-1381-7,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-4939-1380-0, 978-1-4939-1381-7",Null,Null,Null
Vinit Yadav,Processing Big Data with Azure HDInsight - Building Real-World Big Data Systems on Azure HDInsight Using the Hadoop Ecosystem,Null,2017,1-207,https://doi.org/10.1007/978-1-4842-2869-2,Apress,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4842-2868-5,Null,Null,Null
"Chin-Tser Huang, Mohamed G. Gouda",Hop Integrity in the Internet,Null,2006,1-112,https://doi.org/10.1007/0-387-29444-9,Springer,Null,Null,Null,21,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-24426-6,Advances in Information Security,Null,Null
Chinese Academy of Cyberspace Studies,China Internet Development Report 2018 - Blue Book of World Internet Conference,Null,2020,1-126,https://doi.org/10.1007/978-981-15-4043-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-15-4042-4,Null,Null,Null
Wolfgang Reisig,"Petrinetze, Eine Einführung, 2. Auflage",Null,1986,Null,Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-540-16622-X,Null,Null,Null
"Christoph Meinel, Thorsten Theobald",Algorithms and Data Structures in VLSI Design: OBDD - Foundations and Applications,Null,1998,Null,http://www.informatik.uni-trier.de/~meinel/books/obddbook.html,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-540-64486-5,Null,Null,Null
"Brad Eric Hollister, Alex Pang","A Concise Introduction to Scientific Visualization - Past, Present, and Future",Null,2022,1-107,https://doi.org/10.1007/978-3-030-86419-4,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-030-86418-7,Null,Null,Null
Dirk Taubner,Finite Representations of CCS and TCSP Programs by Automata and Petri Nets,"Technical University Munich, Germany",1989,1-215,"https://doi.org/10.1007/3-540-51525-9, https://d-nb.info/891035877, https://d-nb.info/891231900",Springer,Null,Null,Null,369,Null,Null,Null,Null,Null,Null,Null,Null,3-540-51525-9,Lecture Notes in Computer Science,Null,Null
"Ioannis Pitas, Anastasios N. Venetsanopoulos",Nonlinear Digital Filters - Principles and Applications,Null,1990,1-392,https://doi.org/10.1007/978-1-4757-6017-0,Springer,Null,Null,Null,84,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-4419-5120-5, 978-1-4757-6017-0",The Springer International Series in Engineering and Computer Science,Null,Null
Null,Geometric Algebra Computing - in Engineering and Computer Science.,Null,2010,Null,https://doi.org/10.1007/978-1-84996-108-0,Springer,Geometric Algebra Computing,Null,Null,Null,Null,Null,db/books/collections/Bayro2010.html,Null,"Eduardo Bayro-Corrochano, Gerik Scheuermann",Null,Null,Null,978-1-84996-107-3,Null,Null,Null
